6602,the
4278,a
3997,to
3091,of
2431,in
2239,and
1585,is
1412,it
1322,are
1237,on
1233,you
1190,for
1154,they
1100,that
1076,c
1034,d
986,b
932,s
912,with
766,have
759,their
721,be
646,more
642,from
630,as
615,at
584,passage
570,by
566,will
561,he
543,not
538,this
528,what
525,people
498,i
470,questions
454,or
449,than
442,one
433,t
424,has
415,but
412,was
400,about
396,an
392,can
355,section
352,each
348,she
342,answer
324,just
316,when
313,there
312,based
305,her
304,some
304,his
303,food
299,do
283,your
280,we
268,time
267,were
261,part
261,may
259,should
257,new
254,letter
251,many
244,who
242,directions
233,them
226,up
223,through
220,work
220,how
214,its
208,only
204,out
203,most
201,minutes
200,which
196,make
196,life
196,all
195,does
194,sheet
193,students
188,heard
188,hear
184,like
184,if
181,no
179,choices
177,two
176,so
173,would
169,once
164,world
164,other
162,corresponding
161,had
161,after
157,best
153,women
153,four
152,been
147,line
145,our
144,then
144,into
142,single
142,much
142,get
141,said
141,children
140,following
139,mark
138,says
138,marked
136,home
136,could
135,information
134,years
134,way
132,words
132,less
131,take
131,e
130,over
130,centre
127,read
126,three
126,these
124,good
123,report
123,also
121,even
119,well
118,first
117,study
117,conversation
117,because
116,both
116,author
115,write
115,school
115,now
114,choose
113,my
111,year
110,use
110,news
109,must
109,bank
108,say
108,research
108,m
108,high
108,find
107,young
107,any
106,long
106,health
105,making
104,while
104,better
103,those
103,paragraph
103,help
102,me
101,man
101,did
98,often
98,end
98,business
96,too
96,think
96,before
95,living
95,age
93,woman
93,given
93,being
92,parents
92,learn
91,likely
90,why
90,go
90,found
90,education
89,own
88,such
88,men
88,going
87,very
87,see
86,where
86,different
83,college
83,choice
82,still
82,question
80,us
79,need
79,n
79,learning
79,fast
79,allowed
77,old
77,money
76,things
76,re
76,might
76,made
76,important
76,day
75,word
75,w
75,technology
75,human
75,him
75,family
75,change
73,same
73,around
72,want
72,something
72,down
72,company
72,become
71,car
70,writing
70,used
70,system
70,public
70,longer
70,h
70,between
69,ten
69,know
69,companies
68,pay
68,job
68,countries
67,statements
67,jobs
67,give
66,least
66,don
66,comprehension
66,american
66,according
64,off
64,few
64,f
64,during
63,spoken
63,number
63,big
62,k
61,every
61,eat
61,care
60,whether
60,university
60,short
60,set
60,o
60,l
60,feel
60,come
59,social
59,reading
59,passages
59,idea
59,future
59,back
57,recent
57,person
57,government
57,g
56,u
56,place
56,keep
56,j
56,higher
56,class
56,carefully
56,america
55,small
55,live
55,hard
55,early
54,right
54,researchers
54,lot
54,kids
53,required
53,others
53,oil
53,english
53,book
52,working
52,security
52,r
52,little
52,great
52,decide
52,among
52,able
51,teachers
51,second
51,last
51,brain
51,books
50,problems
50,possible
50,older
50,half
50,doing
49,try
49,themselves
49,start
49,real
49,rather
49,past
49,mr
49,changes
49,another
48,without
48,sleep
48,show
48,sense
48,self
48,sales
48,products
48,mind
48,list
48,access
47,lives
47,essay
47,economic
47,americans
46,ways
46,today
46,prices
46,paper
46,followed
46,digital
46,difficult
46,adults
45,quality
45,large
45,improve
45,experience
45,enough
45,control
44,yet
44,skills
44,put
44,look
44,identify
44,blanks
44,believe
43,white
43,th
43,student
43,state
43,really
43,program
43,problem
43,however
43,global
43,always
43,ability
42,workers
42,share
42,schools
42,save
42,means
42,makes
42,internet
42,buy
42,away
42,art
41,states
41,space
41,lack
41,customers
41,computer
41,child
40,percent
40,healthy
40,far
40,effect
40,conversations
40,chinese
39,success
39,since
39,please
39,industry
39,growing
39,group
39,ever
39,driving
39,cost
39,cooking
39,city
38,water
38,value
38,support
38,online
38,market
38,local
38,instead
38,friends
38,example
38,dr
38,derived
38,century
38,cars
38,career
37,using
37,translate
37,top
37,times
37,taking
37,studies
37,select
37,never
37,listening
37,five
37,energy
37,disease
37,contains
36,sugar
36,potential
36,patients
36,memory
36,medical
36,later
36,known
